frequency,db(v(out)/v(s)),ph(v(out))-ph(v(s))
1,-265.447,1.55298
1.25893,-259.448,1.54837
1.58489,-253.449,1.54256
1.99526,-247.451,1.53526
2.51189,-241.454,1.52607
3.16228,-235.459,1.5145
3.98107,-229.467,1.49997
5.01187,-223.479,1.48172
6.30957,-217.499,1.45882
7.94328,-211.529,1.43015
10,-205.578,1.39438
12.5893,-199.653,1.34997
15.8489,-193.77,1.29527
19.9526,-187.95,1.22866
25.1189,-182.22,1.14893
31.6228,-176.617,1.05582
39.8107,-171.179,0.950579
50.1187,-165.945,0.836455
63.0957,-160.936,0.718444
79.4328,-156.155,0.6023
100,-151.582,0.493104
125.893,-147.183,0.394189
158.489,-142.921,0.306872
199.526,-138.762,0.230863
251.189,-134.684,0.164945
316.228,-130.67,0.107636
398.107,-126.714,0.0577257
501.187,-122.814,0.0146578
630.957,-118.967,-0.0212962
794.328,-115.164,-0.0492451
1000,-111.389,-0.0683491
1258.93,-107.618,-0.0786784
1584.89,-103.826,-0.0816447
1995.26,-99.998,-0.0796495
2511.89,-96.1302,-0.0752851
3162.28,-92.2259,-0.0706931
3981.07,-88.2924,-0.0673532
5011.87,-84.3378,-0.0661902
6309.57,-80.369,-0.0677884
7943.28,-76.3916,-0.0725885
10000,-72.4098,-0.0810296
12589.3,-68.4274,-0.0936439
15848.9,-64.4481,-0.111119
19952.6,-60.4762,-0.13434
25118.9,-56.5174,-0.164416
31622.8,-52.5803,-0.202682
39810.7,-48.677,-0.250653
50118.7,-44.8253,-0.309894
63095.7,-41.0501,-0.381754
79432.8,-37.3838,-0.466912
100000,-33.865,-0.564774
125893,-30.5326,-0.672904
158489,-27.4166,-0.786897
199526,-24.5284,-0.901024
251189,-21.8563,-1.00956
316228,-19.37,-1.1081
398107,-17.0297,-1.19421
501187,-14.7958,-1.26734
630957,-12.6337,-1.32822
794328,-10.5158,-1.37827
1e+06,-8.41967,-1.41917
1.25893e+06,-6.32561,-1.45257
1.58489e+06,-4.21336,-1.47999
1.99526e+06,-2.05754,-1.50277
2.51189e+06,0.178967,-1.52213
3.16228e+06,2.55674,-1.5392
3.98107e+06,5.18397,-1.55522
5.01187e+06,8.27599,-1.57196
6.30957e+06,12.3443,-1.59354
7.94328e+06,19.1564,-1.64015
1e+07,35.254,2.0105
1.25893e+07,16.9501,1.60299
1.58489e+07,11.186,1.56609
1.99526e+07,7.443,1.54363
2.51189e+07,4.49778,1.52325
3.16228e+07,1.94765,1.50156
3.98107e+07,-0.386341,1.47671
5.01187e+07,-2.59681,1.44715
6.30957e+07,-4.73656,1.41125
7.94328e+07,-6.8384,1.36719
1e+08,-8.92497,1.31289
1.25893e+08,-11.0143,1.24597
1.58489e+08,-13.1235,1.16392
1.99526e+08,-15.2704,1.06425
2.51189e+08,-17.4741,0.945051
3.16228e+08,-19.7522,0.805682
3.98107e+08,-22.1141,0.647633
5.01187e+08,-24.5508,0.475172
6.30957e+08,-27.0261,0.295326
7.94328e+08,-29.4757,0.116946
1e+09,-31.8197,-0.0509893
