,Target Freq.,Frequency,Vin (pk-pk),Vout (pk-pk),1->2 Phase,Gain,Gain dB,Phase (rad)
1,5360000,5360000,0.32,0.54,-20,1.69,4.54,0.3490658504
2,5740000,5740000,0.328,0.46,-16,1.4,2.94,0.2792526803
3,6160000,6160000,0.328,0.4,-153,1.22,1.72,2.6703537556
4,6600000,6600000,0.328,0.42,-51,1.28,2.15,0.8901179185
5,7070000,7070000,0.328,0.48,-90,1.46,3.31,1.5707963268
6,7580000,7580000,0.328,0.5,-75,1.51,3.59,1.308996939
7,8120000,8120000,0.328,0.61,-84,1.85,5.36,1.4660765717
8,8710000,8710000,0.32,1.24,-66,3.88,11.77,1.1519173063
9,9330000,9330000,0.32,3,-80,9.38,19.44,1.3962634016
18,,9470000,0.312,8.4,-34,26.92,28.6,0.5934119457
16,,9500000,0.364,12.4,41,34.07,30.65,-0.7155849933
17,,9610000,0.344,8.56,83,24.88,27.92,-1.4486232792
10,10000000,10000000,0.328,1.32,104,4.02,12.09,-1.8151424221
11,10700000,10700000,0.32,0.76,84,2.38,7.51,-1.4660765717
12,11500000,11500000,0.328,0.44,81,1.34,2.55,-1.4137166941
13,12300000,12300000,0.328,0.3,89,0.9,-0.89,-1.5533430343
14,13200000,13200000,0.336,0.25,96,0.74,-2.64,-1.6755160819
15,14100000,14100000,0.328,0.2,127,0.62,-4.12,-2.21656815
